crash_date,crash_time,borough,on_street,cross_street,contributing_factor,vehicle_type,persons_injured,persons_killed,lat,lon
2022-09-15,20:00:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,0,0,40.663204,-73.923805
2022-07-12,08:00:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,0,0,40.663452,-73.92409
2022-06-25,11:55:00,BROOKLYN,JUNIUS STREET,LIVONIA AVENUE,Driver Inattention/Distraction,Sedan,1,0,40.66366,-73.90146
2022-10-16,23:54:00,BROOKLYN,Unknown,Unknown,Unsafe Speed,Sedan,0,0,40.66384,-73.91091
2022-01-18,12:45:00,BROOKLYN,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.664158,-73.90895
2022-01-02,08:26:00,BROOKLYN,Unknown,Unknown,Passenger Distraction,Sedan,0,0,40.664196,-73.92403
2022-06-14,21:10:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,0,0,40.664413,-73.901634
2022-05-06,08:20:00,BROOKLYN,Unknown,Unknown,Driver Inattention/Distraction,Box Truck,0,0,40.664417,-73.91779
2022-07-10,10:55:00,BROOKLYN,Unknown,Unknown,Passing Too Closely,Sedan,0,0,40.66457,-73.91686
2022-06-22,17:59:00,BROOKLYN,BLAKE AVENUE,HERZL STREET,Unspecified,Sedan,0,0,40.66493,-73.9144
2022-04-07,14:38:00,BROOKLYN,BOYLAND STREET,BLAKE AVENUE,Fatigued/Drowsy,Sedan,1,0,40.665207,-73.91252
2022-07-13,09:30:00,BROOKLYN,Unknown,Unknown,Unspecified,Sedan,0,0,40.665245,-73.92298
2022-03-17,00:00:00,BROOKLYN,ROCKAWAY AVENUE,BLAKE AVENUE,Unspecified,Sedan,1,0,40.665627,-73.909706
2022-07-10,00:30:00,BROOKLYN,BLAKE AVENUE,ROCKAWAY AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.665627,-73.909706
2022-01-12,17:39:00,BROOKLYN,TAPSCOTT STREET,SUTTER AVENUE,Brakes Defective,Sedan,1,0,40.665627,-73.92045
2022-10-15,21:56:00,BROOKLYN,Unknown,Unknown,Unsafe Speed,Sedan,0,0,40.6673,-73.909
2022-04-06,15:26:00,BROOKLYN,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.667397,-73.91309
2022-04-10,22:40:00,BROOKLYN,SUTTER AVENUE,STONE AVENUE,Other Vehicular,Sedan,0,0,40.667706,-73.90636
2022-05-07,12:30:00,BROOKLYN,Unknown,Unknown,Unspecified,Pick-up Truck,0,0,40.66775,-73.90625
2022-03-04,11:30:00,BROOKLYN,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.668125,-73.90648
2022-09-21,18:07:00,BROOKLYN,PITKIN AVENUE,SARATOGA AVENUE,Driver Inattention/Distraction,Sedan,0,0,40.66871,-73.91731
